Allele;Frequency
HLA-A68:32;0,00000002
HLA-A68:34;0,00000002
HLA-A68:35;0,00000069
HLA-A68:36;0,00000091
HLA-A68:37;0,00000177
HLA-A68:38;0,00000216
HLA-A68:39;0,00000004
HLA-A68:40;0,00000024
HLA-A68:41;0,00000022
HLA-A68:42;0,00000014
HLA-A68:44;0,00000010
HLA-A68:46;0,00000008
HLA-A68:54;0,00000002
HLA-A68:55;0,00000166
HLA-A68:57;0,00000012
HLA-A68:61;0,00000002
HLA-A68:65;0,00000020
HLA-A68:67;0,00000004
HLA-A68:68;0,00000004
HLA-A68:72;0,00000002
HLA-A68:73;0,00000020
HLA-A68:75;0,00000010
HLA-A68:77;0,00000008
HLA-A68:99;0,00000002
HLA-A69:01;0,00401942
HLA-A74:01;0,00590740
HLA-A74:02;0,00000746
HLA-A74:03;0,00060511
HLA-A74:04;0,00000065
HLA-A74:05;0,00000533
HLA-A74:06;0,00000415
HLA-A74:07;0,00000043
HLA-A74:08;0,00000094
HLA-A74:09;0,00001953
HLA-A74:10;0,00000069
HLA-A74:11;0,00001441
HLA-A74:12;0,00000016
HLA-A74:13;0,00000058
HLA-A74:14;0,00000113
HLA-A74:15;0,00000016
HLA-A74:16;0,00000051
HLA-A74:17;0,00000016
HLA-A74:18;0,00000016
HLA-A74:19;0,00000016
HLA-A74:20;0,00000016
HLA-A74:23;0,00000111
HLA-A80:01;0,00099655
HLA-A80:02;0,00008129
HLA-A80:03;0,00000030
HLA-B07:02;0,05613507
HLA-B07:03;0,00001172
HLA-B07:04;0,00016630
HLA-B07:05;0,01239143
HLA-B07:06;0,00005615
HLA-B07:07;0,00002884
HLA-B07:08;0,00000347
HLA-B07:09;0,00005125
HLA-B07:10;0,00003963
HLA-B07:102;0,00000013
HLA-B07:103;0,00000002
HLA-B07:107;0,00000028
HLA-B07:109;0,00000006
HLA-B07:11;0,00000550
HLA-B07:110;0,00000002
HLA-B07:111;0,00000012
HLA-B07:112;0,00000022
HLA-B07:113;0,00000026
HLA-B07:114;0,00000041
HLA-B07:115;0,00000046
HLA-B07:116;0,00000268
HLA-B07:117;0,00000034
HLA-B07:118;0,00000004
HLA-B07:12;0,00000330
HLA-B07:122;0,00000040
HLA-B07:124;0,00000010
HLA-B07:13;0,00000169
HLA-B07:138;0,00000020
HLA-B07:14;0,00002096
HLA-B07:149;0,00000002
HLA-B07:15;0,00000304
HLA-B07:153;0,00000002
HLA-B07:16;0,00000178
HLA-B07:165;0,00000002
HLA-B07:17;0,00000171
HLA-B07:18;0,00000242
HLA-B07:181;0,00000002
HLA-B07:19;0,00000100
HLA-B07:20;0,00000593
HLA-B07:21;0,00000004
HLA-B07:22;0,00000104
HLA-B07:23;0,00000207
HLA-B07:237;0,00000002
HLA-B07:24;0,00000015
HLA-B07:26;0,00000296
HLA-B07:27;0,00000064
HLA-B07:28;0,00000143
HLA-B07:29;0,00000009
HLA-B07:30;0,00000002
HLA-B07:31;0,00000749
HLA-B07:32;0,00000136
HLA-B07:33;0,00000519
HLA-B07:34;0,00000024
HLA-B07:35;0,00000485
HLA-B07:36;0,00000135
HLA-B07:37;0,00000590
HLA-B07:38;0,00000606
HLA-B07:39;0,00000006
HLA-B07:40;0,00000038
HLA-B07:41;0,00000060
HLA-B07:42;0,00000071
HLA-B07:43;0,00000042
HLA-B07:46;0,00000001
HLA-B07:47;0,00000341
HLA-B07:48;0,00000098
HLA-B07:51;0,00000026
HLA-B07:53;0,00000101
HLA-B07:54;0,00000016
HLA-B07:55;0,00000002
HLA-B07:57;0,00000004
HLA-B07:62;0,00000042
HLA-B07:63;0,00000010
HLA-B07:64;0,00000001
HLA-B07:66;0,00000004
HLA-B07:67;0,00000006
HLA-B07:68;0,00000134
HLA-B07:70;0,00000005
HLA-B07:71;0,00000008
HLA-B07:73;0,00000006
HLA-B07:74;0,00000006
HLA-B07:75;0,00000001
HLA-B07:77;0,00000020
HLA-B07:80;0,00000086
HLA-B07:81;0,00000002
HLA-B07:85;0,00000102
HLA-B07:86;0,00000023
